audit_id,source_slice,model,condition,metric,numerator,denominator,rate_pct,ci95_low_pct,ci95_high_pct
revision_source_grounded,AgentDojo,GLM-5.1,decision_enforced,e2e,14,20,70.0,55.0,85.0
revision_source_grounded,AgentDojo,GLM-5.1,decision_enforced,pairacc,4,10,40.0,10.0,70.0
revision_source_grounded,AgentDojo,GLM-5.1,decision_visible,e2e,12,20,60.0,35.0,80.125
revision_source_grounded,AgentDojo,GLM-5.1,decision_visible,pairacc,4,10,40.0,10.0,70.0
revision_source_grounded,AgentDojo,GLM-5.1,history_only,e2e,11,20,55.0,30.0,80.0
revision_source_grounded,AgentDojo,GLM-5.1,history_only,pairacc,4,10,40.0,10.0,70.0
revision_source_grounded,STATE-Bench,GLM-5.1,decision_enforced,e2e,20,20,100.0,100.0,100.0
revision_source_grounded,STATE-Bench,GLM-5.1,decision_enforced,pairacc,10,10,100.0,100.0,100.0
revision_source_grounded,STATE-Bench,GLM-5.1,decision_visible,e2e,20,20,100.0,100.0,100.0
revision_source_grounded,STATE-Bench,GLM-5.1,decision_visible,pairacc,10,10,100.0,100.0,100.0
revision_source_grounded,STATE-Bench,GLM-5.1,history_only,e2e,15,20,75.0,60.0,90.0
revision_source_grounded,STATE-Bench,GLM-5.1,history_only,pairacc,5,10,50.0,20.0,80.0
revision_source_grounded,ToolSandbox,GLM-5.1,decision_enforced,e2e,18,20,90.0,75.0,100.0
revision_source_grounded,ToolSandbox,GLM-5.1,decision_enforced,pairacc,8,10,80.0,50.0,100.0
revision_source_grounded,ToolSandbox,GLM-5.1,decision_visible,e2e,16,20,80.0,65.0,95.0
revision_source_grounded,ToolSandbox,GLM-5.1,decision_visible,pairacc,6,10,60.0,30.0,90.0
revision_source_grounded,ToolSandbox,GLM-5.1,history_only,e2e,11,20,55.0,40.0,70.0
revision_source_grounded,ToolSandbox,GLM-5.1,history_only,pairacc,2,10,20.0,0.0,50.0
revision_source_grounded,AgentDojo,Qwen3.5,decision_enforced,e2e,14,20,70.0,50.0,90.0
revision_source_grounded,AgentDojo,Qwen3.5,decision_enforced,pairacc,5,10,50.0,20.0,80.0
revision_source_grounded,AgentDojo,Qwen3.5,decision_visible,e2e,12,20,60.0,34.875,85.0
revision_source_grounded,AgentDojo,Qwen3.5,decision_visible,pairacc,5,10,50.0,20.0,80.0
revision_source_grounded,AgentDojo,Qwen3.5,history_only,e2e,11,20,55.0,30.0,80.0
revision_source_grounded,AgentDojo,Qwen3.5,history_only,pairacc,4,10,40.0,10.0,70.0
revision_source_grounded,STATE-Bench,Qwen3.5,decision_enforced,e2e,20,20,100.0,100.0,100.0
revision_source_grounded,STATE-Bench,Qwen3.5,decision_enforced,pairacc,10,10,100.0,100.0,100.0
revision_source_grounded,STATE-Bench,Qwen3.5,decision_visible,e2e,18,20,90.0,75.0,100.0
revision_source_grounded,STATE-Bench,Qwen3.5,decision_visible,pairacc,8,10,80.0,50.0,100.0
revision_source_grounded,STATE-Bench,Qwen3.5,history_only,e2e,18,20,90.0,75.0,100.0
revision_source_grounded,STATE-Bench,Qwen3.5,history_only,pairacc,8,10,80.0,50.0,100.0
revision_source_grounded,ToolSandbox,Qwen3.5,decision_enforced,e2e,9,20,45.0,25.0,65.0
revision_source_grounded,ToolSandbox,Qwen3.5,decision_enforced,pairacc,2,10,20.0,0.0,50.0
revision_source_grounded,ToolSandbox,Qwen3.5,decision_visible,e2e,9,20,45.0,35.0,50.0
revision_source_grounded,ToolSandbox,Qwen3.5,decision_visible,pairacc,0,10,0.0,0.0,0.0
revision_source_grounded,ToolSandbox,Qwen3.5,history_only,e2e,10,20,50.0,50.0,50.0
revision_source_grounded,ToolSandbox,Qwen3.5,history_only,pairacc,0,10,0.0,0.0,0.0
revision_source_grounded,AgentDojo,DeepSeek,decision_enforced,e2e,15,20,75.0,55.0,95.0
revision_source_grounded,AgentDojo,DeepSeek,decision_enforced,pairacc,6,10,60.0,30.0,90.0
revision_source_grounded,AgentDojo,DeepSeek,decision_visible,e2e,15,20,75.0,50.0,100.0
revision_source_grounded,AgentDojo,DeepSeek,decision_visible,pairacc,7,10,70.0,40.0,100.0
revision_source_grounded,AgentDojo,DeepSeek,history_only,e2e,13,20,65.0,35.0,90.0
revision_source_grounded,AgentDojo,DeepSeek,history_only,pairacc,6,10,60.0,30.0,90.0
revision_source_grounded,STATE-Bench,DeepSeek,decision_enforced,e2e,19,20,95.0,85.0,100.0
revision_source_grounded,STATE-Bench,DeepSeek,decision_enforced,pairacc,9,10,90.0,70.0,100.0
revision_source_grounded,STATE-Bench,DeepSeek,decision_visible,e2e,19,20,95.0,85.0,100.0
revision_source_grounded,STATE-Bench,DeepSeek,decision_visible,pairacc,9,10,90.0,70.0,100.0
revision_source_grounded,STATE-Bench,DeepSeek,history_only,e2e,20,20,100.0,100.0,100.0
revision_source_grounded,STATE-Bench,DeepSeek,history_only,pairacc,10,10,100.0,100.0,100.0
revision_source_grounded,ToolSandbox,DeepSeek,decision_enforced,e2e,13,20,65.0,40.0,90.0
revision_source_grounded,ToolSandbox,DeepSeek,decision_enforced,pairacc,5,10,50.0,20.0,80.0
revision_source_grounded,ToolSandbox,DeepSeek,decision_visible,e2e,13,20,65.0,35.0,90.0
revision_source_grounded,ToolSandbox,DeepSeek,decision_visible,pairacc,6,10,60.0,30.0,90.0
revision_source_grounded,ToolSandbox,DeepSeek,history_only,e2e,12,20,60.0,40.0,80.0
revision_source_grounded,ToolSandbox,DeepSeek,history_only,pairacc,3,10,30.0,0.0,60.0
