experiment,dataset,model,condition,metric,numerator,denominator,value,unit,ci95_low,ci95_high,evidence_status,source_file,notes
PairAcc / identifiability,v3,Qwen3.5,Generic:all,preserve_accuracy,27,80,33.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:all,reevaluate_accuracy,76,80,95.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:all,pairacc,23,80,28.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:changed_winner_core,preserve_accuracy,3,32,9.375,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:changed_winner_core,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:changed_winner_core,pairacc,3,32,9.375,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:invalidity_policy,preserve_accuracy,8,32,25.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:invalidity_policy,reevaluate_accuracy,28,32,87.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Generic:invalidity_policy,pairacc,4,32,12.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Generic:all,preserve_accuracy,45,80,56.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Generic:all,reevaluate_accuracy,70,80,87.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Generic:all,pairacc,38,80,47.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
